               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.014609,            0.010304,           0.0036284,             0.79204,             0.86491,             0.85947,             0.72283,            0.013516,            0.013293,           0.0090455,           0.0004324,           0.0004324,           0.0004324
                  88,            0.014653,            0.010243,           0.0033193,             0.78733,             0.85075,             0.85236,             0.71645,            0.013548,            0.013266,           0.0094632,           0.0004258,           0.0004258,           0.0004258
                  89,            0.014684,            0.010274,           0.0034861,             0.80295,             0.86452,              0.8668,             0.72899,            0.013476,            0.013233,           0.0089546,           0.0004192,           0.0004192,           0.0004192
                  90,            0.014533,            0.010155,           0.0032568,             0.80654,             0.85478,             0.86657,             0.72793,            0.013451,            0.013201,           0.0090023,           0.0004126,           0.0004126,           0.0004126
                  91,            0.014564,            0.010279,            0.003148,             0.81405,             0.83648,             0.86299,             0.72533,            0.013497,            0.013197,           0.0091648,            0.000406,            0.000406,            0.000406
                  92,            0.014364,            0.010161,           0.0031287,             0.82429,             0.84592,             0.87006,              0.7309,            0.013468,            0.013172,           0.0091563,           0.0003994,           0.0003994,           0.0003994
                  93,            0.014397,            0.010075,           0.0031773,             0.78236,             0.85815,             0.85581,             0.71957,            0.013462,            0.013173,           0.0094073,           0.0003928,           0.0003928,           0.0003928
                  94,            0.014294,           0.0099774,           0.0031101,             0.80526,              0.8299,             0.85292,             0.71888,            0.013392,            0.013152,           0.0097295,           0.0003862,           0.0003862,           0.0003862
                  95,            0.014377,            0.010042,           0.0031378,             0.78762,             0.86405,             0.86184,             0.72446,             0.01344,            0.013168,           0.0093886,           0.0003796,           0.0003796,           0.0003796
                  96,            0.014223,            0.010118,           0.0030771,              0.7987,             0.82672,             0.84915,             0.71412,            0.013538,            0.013192,           0.0098301,            0.000373,            0.000373,            0.000373
                  97,            0.014377,            0.010092,           0.0030379,             0.77315,             0.85212,             0.85064,             0.71422,            0.013455,            0.013166,           0.0097384,           0.0003664,           0.0003664,           0.0003664
                  98,            0.014106,           0.0099124,           0.0028999,               0.809,             0.82273,               0.855,             0.71908,            0.013391,            0.013115,           0.0097257,           0.0003598,           0.0003598,           0.0003598
                  99,            0.014197,           0.0098835,           0.0028375,             0.82041,             0.82289,             0.85184,             0.71693,            0.013381,            0.013106,            0.010258,           0.0003532,           0.0003532,           0.0003532
